SourceFile,SourceFolder,SourceSubFolder,Data_File,Vessel,Cruise,Station,Water_Depth,SST,Latitude,Longitude,Latitude(decimal),Longitude(decimal),Datetime,name_0,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,name_10,name_11,name_12,name_13,name_14,name_15,span_0,span_1,span_2,span_3,span_4,span_5,span_6,span_7,span_8,span_9,span_10,span_11,span_12,span_13,span_14,span_15,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,FileName,Temperature_SN,Conductivity_SN,Number_of_Bytes_Per_Scan,Number_of_Voltage_Words,Number_of_Scans_Averaged_by_the_Deck_Unit,System_UpLoad_Time,Date,Time,nquan,nvalues,units,interval,start_time,bad_flag,datcnv_date,datcnv_in,datcnv_skipover,datcnv_ox_hysteresis_correction,datcnv_ox_tau_correction,file_type,number_of_scans_to_average,pressure_baud_rate,GPIB_address,Operator,System_UTC,NMEA_UTC_(Time),Store_Lat/Lon_Data,Real-Time_Sample_Interval,wildedit_date,wildedit_in,wildedit_pass1_nstd,wildedit_pass2_nstd,wildedit_pass2_mindelta,wildedit_npoint,wildedit_vars,wildedit_excl_bad_scans,filter_date,filter_in,filter_low_pass_tc_A,filter_low_pass_tc_B,filter_low_pass_A_vars,filter_low_pass_B_vars,celltm_date,celltm_in,celltm_alpha,celltm_tau,celltm_temp_sensor_use_for_cond,loopedit_date,loopedit_in,loopedit_percentMeanSpeed:_minV,loopedit_excl_bad_scans,Derive_date,Derive_in,binavg_date,binavg_in,binavg_bintype,binavg_binsize,binavg_excl_bad_scans,binavg_skipover,binavg_surface_bin,Time_12,Time_15,Time_18,SeacatPlus_V_1.6b_SERIAL_NO._5090_16_May_2009_22,vbatt,iext01,iext23,status,samples,mode,autorun,battery_type,pressure_sensor,SBE_38,Ext_Volt_0,echo_commands,output_format,temperature,TA0,TA1,TA2,TA3,TOFFSET,conductivity,G,H,I,J,CF0,CPCOR,CTCOR,CSLOPE,pressure_S/N,PA0,PA1,PA2,PTCA0,PTCA1,PTCA2,PTCB0,PTCB1,PTCB2,PTEMPA0,PTEMPA1,PTEMPA2,POFFSET,volt_0:_offset,volt_1:_offset,volt_2:_offset,volt_3:_offset,EXTFREQSF,"cast_2_16_May_2009_02:35:00_samples_86_to_84215,_avg",alignctd_date,alignctd_in,alignctd_adv,loopedit_minVelocity,loopedit_surfaceSoak:_minDepth,NMEA_baud_rate,Start_Time
CTD_01CTD_01.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3105M,,"011""59.34N",089'30.88E,11.989,89.514667,13-11-10 23:03:53,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.051,   1001.839","-0.052,   1009.849","0.498151,   5.478561","6.6705,    28.5526","2.5218,    35.0489","1493.94,    1541.80","-0.0145,     1.3701","0.04989,    5.11779","4.49063,    6.81616","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_01.hdr,5094,3478,21.0,3.0,1.0,Nov 13 2010 23:03:53,13-11-2010,23.00,10,65837,specified,seconds: 0.0416667,Nov 13 2010 23:03:53,-9.99e-29,"Nov 15 2010 10:11:51, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_01.hex E:\SK 277 SBE CTD\CTD_Return\CTD_01.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_02CTD_02.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3145M,,"012""03.99N",088'59.99E,12.0665,88.999833,14-11-10 04:12:27,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.147,   1000.877","-0.148,   1008.877","0.037599,   5.464690","6.8149,    28.5538","0.1735,    35.0480","1494.40,    1541.82","-0.0255,     1.2492","0.12903,    5.34002","4.49343,    6.79294","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_02.hdr,5094,3478,21.0,3.0,1.0,Nov 14 2010 04:12:27,14-11-2010,04.01,10,78333,specified,seconds: 0.0416667,Nov 14 2010 04:12:27,-9.99e-29,"Nov 15 2010 10:12:07, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_02.hex E:\SK 277 SBE CTD\CTD_Return\CTD_02.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_03CTD_03.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3168M,,"012""03.99N",088'30.99E,12.0665,88.5165,14-11-10 09:37:58,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"1.798,    704.548","1.808,    709.672","3.693313,   5.508234","8.4383,    29.0602","28.9001,    35.0515","1495.76,    1542.22","0.0075,     1.0954","0.06565,    4.50929","4.46677,    6.54220","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_03.hdr,5094,3478,21.0,3.0,1.0,Nov 14 2010 09:37:58,14-11-2010,09.40,10,87219,specified,seconds: 0.0416667,Nov 14 2010 09:37:58,-9.99e-29,"Nov 15 2010 10:12:23, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_03.hex E:\SK 277 SBE CTD\CTD_Return\CTD_03.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_04CTD_04.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3203M,,"012""10.99N",088'00.99E,12.183167,88.0165,14-11-10 15:19:39,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"0.538,   1000.604","0.541,   1008.601","3.529328,   5.625297","6.5867,    29.1925","32.3106,    35.0454","1493.56,    1543.93","0.0075,     1.1503","0.04080,    4.58026","4.43183,    6.82963","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_04.hdr,5094,3478,21.0,3.0,1.0,Nov 14 2010 15:19:39,14-11-2010,15.20,10,83464,specified,seconds: 0.0416667,Nov 14 2010 15:19:39,-9.99e-29,"Nov 15 2010 10:12:54, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_04.hex E:\SK 277 SBE CTD\CTD_Return\CTD_04.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_05CTD_05.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3203M,,"012""14.11N",087'29.99E,12.235167,87.499833,14-11-10 21:08:54,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.052,    999.642","-0.052,   1007.629","1.866666,   5.493322","6.5024,    29.0463","10.1722,    35.0438","1493.24,    1542.41","0.0075,     1.0404","0.02531,    4.44489","4.47221,    6.84334","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_05.hdr,5094,3478,21.0,3.0,1.0,Nov 14 2010 21:08:54,14-11-2010,21.20,10,85024,specified,seconds: 0.0416667,Nov 14 2010 21:08:54,-9.99e-29,"Nov 15 2010 10:13:08, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_05.hex E:\SK 277 SBE CTD\CTD_Return\CTD_05.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_06CTD_06.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3212M,,"012""19.03N",086'59.68E,12.317167,86.994667,15-11-10 02:54:53,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"0.512,   1000.263","0.515,   1008.256","3.528912,   5.484323","6.5841,    28.9218","32.7435,    35.0454","1493.49,    1542.18","0.0185,     0.9855","0.02586,    4.25384","4.48055,    6.83012","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_06.hdr,5094,3478,21.0,3.0,1.0,Nov 15 2010 02:54:53,14-11-2010,02.50,10,94713,specified,seconds: 0.0416667,Nov 15 2010 02:54:53,-9.99e-29,"Nov 15 2010 10:13:22, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_06.hex E:\SK 277 SBE CTD\CTD_Return\CTD_06.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_07CTD_07.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3245M,,"012""20.82N",086'29.85E,12.347,86.4975,15-11-10 09:05:16,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.177,   1000.492","-0.178,   1008.488","0.700472,   5.604618","6.4173,    29.0126","3.5768,    35.0437","1492.91,    1543.30","0.0294,     0.7108","0.02387,    5.02292","4.45130,    6.85709","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_07.hdr,5094,3478,21.0,3.0,1.0,Nov 15 2010 09:05:16,15-11-2010,09.00,10,121247,specified,seconds: 0.0416667,Nov 15 2010 09:05:16,-9.99e-29,"Nov 16 2010 15:20:04, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_07.hex E:\SK 277 SBE CTD\CTD_Return\CTD_07.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_08CTD_08.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3255M,,"012""25.82N","085""59.85E",12.430333,85.9975,15-11-10 15:53:05,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.154,   1000.996","-0.154,   1008.997","0.679863,   5.640180","6.5389,    29.0437","3.4250,    35.0445","1493.37,    1543.71","0.0185,     0.7437","0.03755,    4.95288","4.44417,    6.83736","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_08.hdr,5094,3478,21.0,3.0,1.0,Nov 15 2010 15:53:05,15-11-2010,15.55,10,113429,specified,seconds: 0.0416667,Nov 15 2010 15:53:05,-9.99e-29,"Nov 16 2010 15:20:32, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_08.hex E:\SK 277 SBE CTD\CTD_Return\CTD_08.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_09CTD_09.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3269M,,"012""25.26N","085""29.53E",12.421,85.492167,15-11-10 21:11:09,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.139,    669.097","-0.140,    673.905","0.576693,   5.621823","8.8413,    28.9680","2.8945,    35.0518","1496.73,    1543.24","-0.0035,     0.7217","0.05429,    5.02045","4.44881,    6.48250","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_09.hdr,5094,3478,21.0,3.0,1.0,Nov 15 2010 21:11:09,15-11-2010,21.15,10,88482,specified,seconds: 0.0416667,Nov 15 2010 21:11:09,-9.99e-29,"Nov 16 2010 15:20:56, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_09.hex E:\SK 277 SBE CTD\CTD_Return\CTD_09.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_10CTD_10.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3384M,,"012""33.97N","084""59.93E",12.566167,84.998833,16-11-10 02:08:11,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"0.089,    250.296","0.090,    251.839","4.104052,   5.469175","12.9491,    28.8244","33.0013,    35.0140","1504.20,    1541.86","0.0185,     0.7108","0.06461,    4.39150","4.48316,    5.93122","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_10.hdr,5094,3478,21.0,3.0,1.0,Nov 16 2010 02:08:11,16-11-2010,02.10,10,68882,specified,seconds: 0.0416667,Nov 16 2010 02:08:11,-9.99e-29,"Nov 16 2010 15:21:14, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_10.hex E:\SK 277 SBE CTD\CTD_Return\CTD_10.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_11CTD_11.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3344M,,"012""33.30N","083""59.77E",12.555,83.996167,16-11-10 10:16:49,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.160,    519.552","-0.161,    523.096","0.549945,   5.439017","10.2594,    28.7697","2.7525,    35.0420","1499.41,    1541.31","-0.5310,    44.4690","0.08283,    4.93160","4.49540,    6.28104","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_11.hdr,5094,3478,21.0,3.0,1.0,Nov 16 2010 10:16:49,16-11-2010,10.20,10,64698,specified,seconds: 0.0416667,Nov 16 2010 10:16:49,-9.99e-29,"Nov 16 2010 15:21:38, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_11.hex E:\SK 277 SBE CTD\CTD_Return\CTD_11.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTD_12CTD_12.cnv,CTD_SK277,CTD_SK277\SK 277 SBE CTD\Processed_CTD_DATA\CTD_Return Processing Data,Sea-Bird SBE 9 Data File,ORV. Sagar Kanya,SK277,,3372M,,"012""44.22N","083""30.01E",12.737,83.500167,16-11-10 15:00:13,"depSM: Depth [salt water, m]","prDM: Pressure, Digiquartz [db]",c0S/m: Conductivity [S/m],"t090C: Temperature [ITS-90, deg C]",sal00: Salinity [PSU],"svCM: Sound Velocity [Chen-Millero, m/s]","flECO-AFL: Fluorescence, Wetlab ECO-AFL/FL [mg/m^3]","sbeox0ML/L: Oxygen, SBE 43 [ml/l]",oxsatML/L: Oxygen Saturation [ml/l],flag:  0.000e+00,,,,,,,"-0.102,    503.116","-0.102,    506.527","3.838142,   5.441932","10.0307,    28.2406","24.4775,    35.1073","1498.31,    1540.81","0.0294,     2.8646","0.08056,    4.46120","4.51356,    6.31242","0.0000e+00, 0.0000e+00",,,,,,,"Frequency  0  temperature, 5094, 03-Mar-09","Frequency  1  conductivity, 3478, 01-Apr-09 , cpcor = -9.5700e-08","Frequency  2  pressure, 0934, 07-Apr-09","Extrnl Volt  0  Oxygen, SBE, primary, 1606, 08-Apr-09p","Extrnl Volt  2  WET Labs, ECO_AFL","Extrnl Volt  3  userpoly 0, FLNTURTD-1095, 10-Apr-09","Extrnl Volt  5  surface irradiance (SPAR), degrees = 0.0",,,E:\SK 277 SBE CTD\CTD_Return\CTD_12.hdr,5094,3478,21.0,3.0,1.0,Nov 16 2010 15:00:13,16-11-2010,15.00,10,76388,specified,seconds: 0.0416667,Nov 16 2010 15:00:13,-9.99e-29,"Nov 16 2010 15:56:47, 7.18c",E:\SK 277 SBE CTD\CTD_Return\CTD_12.hex E:\SK 277 SBE CTD\CTD_Return\CTD_12.CON,0,yes,yes,ascii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
